,Word,Frequency
0,설치,2246
1,가능,1819
2,배송,1057
3,세탁기,1024
4,구매,928
5,제품,904
6,주문,848
7,냉장고,771
8,드리,755
9,수거,707
10,사용,662
11,건조기,535
12,기존,525
13,안녕,474
14,문의,417
15,부탁,404
16,상품,390
17,추가,341
18,비용,316
19,궁금하,292
20,벽걸이,285
21,기사,281
22,나오,277
23,연결,277
24,폐가,256
25,구입,250
26,기능,248
27,키트,247
28,직렬,234
29,정도,226
30,무상,211
31,올리,209
32,냉장,202
33,등급,199
34,무료,198
35,모델,183
36,연락,179
37,설치비,173
38,사이즈,171
39,알리,171
