,Word,Frequency
0,설치,2172
1,가능,1793
2,배송,1028
3,세탁기,985
4,구매,919
5,제품,880
6,주문,827
7,냉장고,757
8,수거,702
9,사용,649
10,건조기,513
11,기존,513
12,안녕,443
13,문의,407
14,부탁,384
15,상품,381
16,추가,339
17,비용,315
18,벽걸이,277
19,기사,264
20,연결,263
21,폐가,255
22,구입,246
23,키트,244
24,기능,243
25,직렬,232
26,정도,204
27,등급,196
28,냉장,191
29,무상,188
30,무료,181
31,연락,177
32,모델,171
33,설치비,171
34,사이즈,164
35,티비,163
36,확인,162
37,답변,161
38,사다리차,160
39,가격,159
