,뉴스제목
0,LG전자가 꿈꾸는 '공감지능(AI) 홈' 모습은? [CES 2025]
1,"[CES 2025] LG전자, AI TV 신제품 공개… “밝기 3배↑, AI로 소비자 취향..."
2,OLED샹들리에·TV동굴…'공감지능' LG전자가 만든 미래
3,"LG전자, CES 2025에서 2025년형 올레드 에보 공개"
4,"[단독] LG전자, `2025그램` 출시 일주일 미룬다"
5,"LG전자, CES 2025 참가"
6,"""음성 또렷하게 해줘""…LG전자, 더 똑똑해진 AI TV 공개[CES2025]"
7,LG전자 인캐빈 센싱 솔루션
8,"[CES 2025] ""따뜻한 물 드세요""…LG전자가 그린 '일상 속 AI'"
9,"""가격 하락에 비용 증가""…삼성전자·LG전자, 4Q 실적 먹구름"
