Review
엘지트롬 FX23VN 23키로 세탁기 사용 중인데 직렬설치 가능한가요?
"전원 연결시 콘센트에 코드를 바로 꽂지 않고, 리드선을 연결해서 코드를 꽂아도 안전이나 사용상 문제가 없나요?"
건조기 자체에 통살균세척기능은 원래 없나요??
사이즈 알려주세요
"폐가전무상수거 서비스있는데
혹시 2개도수거되나요..?
제가사는건 건조기인데 건조기 세탁기 두개 수거도 가능한가해서요"
방에 설치하면 건조기 작동때 창열어서 통풍시키며 사용해야하나요?
"WF19T6000KW 19kg
이 제품
위에 설치 가능한가요?"
"구매했는데 바로 취소 됐어요
지금도 구매가능한 상태지만 다시 구매누르면 취소 안당하나요?"
삼성 버블샷 드럼세탁기 17kg랑 직렬설치가 될까요???
전원 켰는데 시간쪽엔 dr이라고 깜박 거리고 전원 외에는 아무것도 터치가 안되는 것 같은데 왜 이런건가요?
"오늘주문했어요~받을장소가 빌라4층인데
일반사다리차 안되고 스카이사다리차만
가능해서요 추가금액 발생하는지 궁금해서
문의글 남깁니다"
상품 구매 후 처음으로 건조기를 사용했는데 AI 모드로 2시간 돌렸는데 마르지가 않아서 강력 건조 기능으로 2시간을 더 말렸는데 빨래가 마르지 않고 축축해요 왜이러는건가요… 휴 좋다고 해서 샀는데요..
안녕하세요 WF23T8300KV 세탁기와 직렬설치 가능한가요? 그경우 세탁기에서 건조기 작동 가능한가요?
상품 명에 NGK 가 붙은 거랑 다른게 있나요? 같아보이는데 가격차이가 나서 문의합니다
필터가 찢어졌어요ㆍ구입을 해야할것같은데 어떻게 주문해야하나요ㆍ빠른답 부탁드립니다ㆍ
"안녕하세요 혹시 일시품절 언제 풀릴까요.
지금 배송주소를 잘못입력해서 취소 후 재구매를 하려고 하는데 일시품절 상태라서.. 곤란한 상태입니다.."
구매후 날짜변경하기잇나요 내일부터배송가능이라 써잇는데요 수요일에받고싶은데 날짜변경되나요
