,Word,Count
0,프라이팬,3126
1,코팅,486
2,사용,476
3,방법,346
4,기름,330
5,요리,312
6,벗겨지,219
7,알리,211
8,냄비,206
9,추천,181
10,정도,156
11,계란,147
12,음식,145
13,고기,142
14,드리,134
15,나오,132
16,버리,122
17,괜찮,119
18,궁금하,117
19,냄새,116
20,프라이,115
21,후라이팬,115
22,부탁,110
23,조리,108
24,제거,108
25,제품,108
26,모르,107
27,만드,105
28,만들,94
29,누르,91
30,가능,90
31,두르,88
32,세척,88
33,설거지,87
34,안녕,84
35,생선,84
36,답변,81
37,후라이,78
38,달구,73
39,주방,73
40,부분,72
41,구매,72
42,생기,71
